idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max
1397,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_5_jaw_left_34.jpg,0.04846860468387604,359.6297912597656,359.58132265508175,356.20119428634644,412.1744689941406
625,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_11_chin_raiser_32.jpg,0.27277523279190063,201.12530517578125,200.85252994298935,258.4087812304497,255.6483612060547
758,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_3_mouth_stretch_35.jpg,0.04383081570267677,194.58908081054688,194.5452499948442,254.69916105270386,255.07273864746094
538,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_12_lip_puckerer_33.jpg,0.03583235666155815,153.76800537109375,153.7321730144322,228.34146016836166,205.232666015625
643,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_2_smile_32.jpg,0.2503848969936371,143.52366638183594,143.2732814848423,219.07912516593933,190.39947509765625
136,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_9_mouth_right_32.jpg,0.22820688784122467,137.99720764160156,137.76900075376034,215.42722088098526,182.71047973632812
1251,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_7_jaw_forward_23.jpg,0.040822770446538925,136.6288299560547,136.58800718560815,213.43831938505173,179.15541076660156
909,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_8_mouth_left_12.jpg,0.2909383475780487,135.16111755371094,134.8701792061329,213.08084964752197,177.77662658691406
81,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_4_anger_22.jpg,0.03255791962146759,117.29134368896484,117.25878576934338,199.74894261360168,148.87103271484375
690,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_17_cheek_blowing_0.jpg,0.03431800752878189,111.99213409423828,111.9578160867095,198.0174720287323,137.6127471923828
1220,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_5_jaw_left_32.jpg,0.24918898940086365,105.26264190673828,105.01345291733742,191.20460698008537,127.11933135986328
673,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_4_anger_34.jpg,0.03109186515212059,100.81696319580078,100.78587133064866,189.6185817718506,118.23492431640625
1579,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_8_mouth_left_25.jpg,0.037938378751277924,97.9732894897461,97.93535111099482,184.82005360722542,115.19556427001953
973,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_8_mouth_left_1.jpg,0.03011450730264187,90.85480499267578,90.82469048537314,181.13364872336388,102.29840850830078
1517,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_13_lip_funneler_33.jpg,0.25359636545181274,86.20427703857422,85.9506806731224,174.97742146253586,96.61707305908203
666,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_7_jaw_forward_8.jpg,0.04020567610859871,76.80213165283203,76.76192597672343,167.98373639583588,79.66824340820312
395,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_6_jaw_right_65.jpg,0.05059332773089409,55.05970001220703,55.00910668447614,144.59123301506042,56.157379150390625
1214,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_12_lip_puckerer_31.jpg,0.20105406641960144,49.31747055053711,49.11641648411751,138.2462681531906,50.50077438354492
366,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_15_lip_roll_33.jpg,0.02935217134654522,46.29866027832031,46.26930810697377,135.0839577615261,46.95030975341797
