idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max,baseline_photo_l1,finetuned_photo_l1,baseline_runtime_ms,finetuned_runtime_ms,landmark_target_source,is_failure,hybrid_selective_fallback
0,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_1_neutral_25.jpg,0.0396287702023983,1.2111111879348755,1.1714824177324772,23.68019863963127,2.2625226974487305,0.5376215577125549,0.5376215577125549,nan,nan,real_npy,0,1
1,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_16_6_jaw_right_42.jpg,0.08873502910137177,0.0958898663520813,0.007154837250709534,7.000885650515556,0.6633724570274353,0.44511547684669495,0.44511547684669495,nan,nan,real_npy,0,1
2,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_1.jpg,0.05355727672576904,0.0523158498108387,-0.0012414269149303436,8.15150861442089,0.6971068382263184,0.42115887999534607,0.42115887999534607,nan,nan,real_npy,0,1
3,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_35.jpg,0.04712474346160889,0.0487758070230484,0.0016510635614395142,8.332229919731617,0.6750733852386475,0.4215160310268402,0.4215160310268402,nan,nan,real_npy,0,1
4,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_17_9_mouth_right_9.jpg,0.05627741664648056,0.06258849799633026,0.006311081349849701,8.433265859261155,0.663414716720581,0.3694095313549042,0.3694095313549042,nan,nan,real_npy,0,1
5,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_19.jpg,0.04529643803834915,0.04406913369894028,-0.0012273043394088745,9.021029870957136,0.7377483248710632,0.2790377140045166,0.2790377140045166,21.087060000127167,20.679237000194917,real_npy,0,1
6,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_17_cheek_blowing_52.jpg,0.2130260467529297,0.20943447947502136,-0.003591567277908325,6.194964207708836,0.602898895740509,0.37326133251190186,0.37326133251190186,34.2436999999336,19.123043000035977,real_npy,0,0
7,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_15_lip_roll_49.jpg,0.7415368556976318,0.5722814798355103,-0.16925537586212158,8.485762566328049,0.7237895727157593,0.37162894010543823,0.37162894010543823,20.52270200010753,20.809955000004265,real_npy,0,1
8,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_5_jaw_left_47.jpg,0.06633154302835464,0.07946151494979858,0.01312997192144394,9.372343942523003,0.8124178051948547,0.4808140993118286,0.4808140993118286,22.372633000031783,20.40594400000373,real_npy,0,1
9,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_20_brow_lower_7.jpg,0.2260742485523224,0.21146953105926514,-0.014604717493057251,8.546038284897804,0.6884228587150574,0.37762635946273804,0.37762635946273804,43.56306899990159,35.061250999888216,real_npy,0,1
10,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_16_grin_2.jpg,0.21612432599067688,0.21167482435703278,-0.004449501633644104,6.723611399531364,0.6054262518882751,0.43702012300491333,0.43702012300491333,24.03178300005493,22.417834999941988,real_npy,0,1
11,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_10_dimpler_23.jpg,0.04108412563800812,0.0374768041074276,-0.0036073215305805206,8.383049793541431,0.7031343579292297,0.3632708191871643,0.3632708191871643,24.603673000001436,20.39913900011925,real_npy,0,1
12,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_20_13_lip_funneler_46.jpg,0.12705649435520172,0.14617742598056793,0.01912093162536621,7.581393748521805,0.67920982837677,0.5959072709083557,0.5959072709083557,22.234245999925406,22.326281999994535,real_npy,0,1
13,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_19_brow_raiser_7.jpg,0.041757982224226,0.04831620678305626,0.006558224558830261,7.6507786102592945,0.6656660437583923,0.22483651340007782,0.22483651340007782,21.715390000053958,30.53800499992576,real_npy,0,1
14,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_29.jpg,0.07104236632585526,0.07278820872306824,0.0017458423972129822,8.119937993586063,0.6890250444412231,0.33427050709724426,0.33427050709724426,23.77476700007719,21.891538000090804,real_npy,0,1
15,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_10_dimpler_6.jpg,0.05460525304079056,0.054447855800390244,-0.00015739724040031433,8.844716683030128,0.7348185777664185,0.28018832206726074,0.28018832206726074,21.134321000090495,21.360821000143915,real_npy,0,1
16,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_12_lip_puckerer_40.jpg,0.18342594802379608,0.19137515127658844,0.007949203252792358,7.058675397187471,0.6386220455169678,0.45004504919052124,0.45004504919052124,22.932472000093185,22.582522999982757,real_npy,0,1
17,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_7_jaw_forward_36.jpg,0.045108143240213394,0.046415336430072784,0.0013071931898593903,7.396491210907698,0.6513913869857788,0.3089570999145508,0.3089570999145508,21.31702699989546,38.22109599991563,real_npy,0,1
18,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_6_14_sadness_1.jpg,0.07470318675041199,0.07414346933364868,-0.0005597174167633057,7.8645636066794395,0.7280451059341431,0.3671760559082031,0.3671760559082031,21.701581000115766,21.38079600013043,real_npy,0,1
19,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_19_brow_raiser_56.jpg,0.06226087361574173,0.06072782725095749,-0.0015330463647842407,8.473705545067787,0.7374650239944458,0.399122953414917,0.399122953414917,19.975251999994725,20.650919000217982,real_npy,0,1
20,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_18_eye_closed_29.jpg,0.07839804887771606,0.08709841966629028,0.008700370788574219,8.535068962723017,0.713100254535675,0.29963529109954834,0.29963529109954834,25.07960599996295,21.231952999869463,real_npy,0,1
21,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_13_lip_funneler_41.jpg,0.1161450743675232,0.10483737289905548,-0.011307701468467712,8.191820710897446,0.7761922478675842,0.4520139992237091,0.4520139992237091,21.52624400014247,21.849740000106976,real_npy,0,1
22,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_10_dimpler_38.jpg,0.5946297645568848,0.5628692507743835,-0.03176051378250122,7.337982784956694,0.6942383646965027,0.38551872968673706,0.38551872968673706,58.4210140000323,22.08930999995573,real_npy,0,1
23,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_20_7_jaw_forward_31.jpg,0.03840101882815361,0.03394322469830513,-0.00445779412984848,7.810134936124086,0.6498435139656067,0.4458387494087219,0.4458387494087219,20.40830700002516,20.682983999904536,real_npy,0,1
24,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_9_2_smile_19.jpg,0.05439726635813713,0.05657101422548294,0.00217374786734581,9.11853142734617,0.7446001172065735,0.3864700496196747,0.3864700496196747,27.213559000074383,21.904294000023583,real_npy,0,1
25,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_2_smile_32.jpg,0.15339091420173645,0.16196703910827637,0.008576124906539917,7.461645092815161,0.7101147174835205,0.2019471824169159,0.2019471824169159,58.574955999802114,20.704301000023406,real_npy,0,1
26,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_8_mouth_left_22.jpg,0.06424041092395782,0.06709195673465729,0.002851545810699463,9.533185583539307,0.7939194440841675,0.36723706126213074,0.36723706126213074,23.53828299987981,22.209602999964773,real_npy,0,1
27,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_7_jaw_forward_0.jpg,0.10142035037279129,0.10908915847539902,0.007668808102607727,7.968908451497555,0.7048771381378174,0.2726958394050598,0.2726958394050598,38.8406130000476,21.737226999903214,real_npy,0,1
28,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_3_mouth_stretch_33.jpg,0.04548991098999977,0.044441577047109604,-0.0010483339428901672,7.649484746158123,0.7352888584136963,0.43496018648147583,0.43496018648147583,22.202436000043235,24.310017000061634,real_npy,0,1
29,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_14_19_brow_raiser_46.jpg,0.16879262030124664,0.17524448037147522,0.006451860070228577,8.416475258767605,0.660763680934906,0.6399165987968445,0.6399165987968445,20.67248800017296,20.202783999820895,real_npy,0,1
30,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_3_7_jaw_forward_29.jpg,0.040719255805015564,0.04821714386343956,0.007497888058423996,8.155577711760998,0.7125726342201233,0.28798985481262207,0.28798985481262207,24.384069000007003,52.08490100017116,real_npy,0,1
31,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_5_jaw_left_58.jpg,0.6693204045295715,0.7499411702156067,0.08062076568603516,7.241274600848556,0.7185890674591064,0.455867201089859,0.455867201089859,20.533034999971278,19.245110999918325,real_npy,0,1
