idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max,baseline_photo_l1,finetuned_photo_l1,baseline_runtime_ms,finetuned_runtime_ms,landmark_target_source,is_failure,hybrid_selective_fallback
0,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_1_neutral_25.jpg,0.03962716832756996,0.09256526827812195,0.05293809995055199,8.307441625744104,0.7257817387580872,0.5376215577125549,0.5376215577125549,nan,nan,real_npy,0,1
1,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_16_6_jaw_right_42.jpg,0.08871696889400482,0.09719624370336533,0.008479274809360504,7.050869554281235,0.6716220378875732,0.44511547684669495,0.44511547684669495,nan,nan,real_npy,0,1
2,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_1.jpg,0.05355703458189964,0.05085983872413635,-0.0026971958577632904,8.095220118761063,0.7013328671455383,0.42115887999534607,0.42115887999534607,nan,nan,real_npy,0,1
3,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_35.jpg,0.04711788520216942,0.04845377430319786,0.0013358891010284424,8.313082166016102,0.6765333414077759,0.4215160310268402,0.4215160310268402,nan,nan,real_npy,0,1
4,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_17_9_mouth_right_9.jpg,0.05628567934036255,0.062113791704177856,0.005828112363815308,8.415807966142893,0.6653903126716614,0.3694095313549042,0.3694095313549042,nan,nan,real_npy,0,1
5,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_19.jpg,0.045300498604774475,0.043922413140535355,-0.0013780854642391205,9.013446904718876,0.7374528050422668,0.2790377140045166,0.2790377140045166,42.71413300000049,49.50140300000072,real_npy,0,1
6,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_17_cheek_blowing_52.jpg,0.21299023926258087,0.20842470228672028,-0.004565536975860596,6.161338735371828,0.607675313949585,0.37326133251190186,0.37326133251190186,45.51434899999762,36.12284099999741,real_npy,0,0
7,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_15_lip_roll_49.jpg,0.7414350509643555,0.544561505317688,-0.19687354564666748,8.554708406329155,0.7233219742774963,0.37162894010543823,0.37162894010543823,45.6282979999969,34.20961900000208,real_npy,0,1
8,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_5_jaw_left_47.jpg,0.06634540110826492,0.07887770235538483,0.012532301247119904,9.387333048507571,0.8126950860023499,0.4808140993118286,0.4808140993118286,49.3238900000037,46.03986800000115,real_npy,0,1
9,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_20_brow_lower_7.jpg,0.22603601217269897,0.20676587522029877,-0.019270136952400208,8.546394221484661,0.6868436336517334,0.37762635946273804,0.37762635946273804,39.61010100000095,40.217836000003615,real_npy,0,1
10,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_16_grin_2.jpg,0.21612370014190674,0.20787204802036285,-0.008251652121543884,6.7930209413170815,0.6137267351150513,0.43702012300491333,0.43702012300491333,38.942237000000546,38.540285000003394,real_npy,0,1
11,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_10_dimpler_23.jpg,0.041085418313741684,0.03816744312644005,-0.0029179751873016357,8.370148932561278,0.7043205499649048,0.3632708191871643,0.3632708191871643,36.14369099999948,38.33112600000277,real_npy,0,1
12,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_20_13_lip_funneler_46.jpg,0.12706273794174194,0.14751091599464417,0.02044817805290222,7.425263948738575,0.6773437261581421,0.5959072709083557,0.5959072709083557,37.052977000001874,38.33687500000593,real_npy,0,1
13,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_19_brow_raiser_7.jpg,0.04175679013133049,0.04817552492022514,0.006418734788894653,7.6390981916338205,0.6654977798461914,0.22483651340007782,0.22483651340007782,33.89103499999635,32.027986999999314,real_npy,0,1
14,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_29.jpg,0.07103218883275986,0.07256712019443512,0.0015349313616752625,8.076896116137505,0.6866055130958557,0.33427050709724426,0.33427050709724426,41.12684999999772,37.05869599999545,real_npy,0,1
